trace_name,number_of_requests,wsr,slab_size,slab_cnt,mhMinDiff,rebalance_strategy,allocator,tag,throughput,rebalanced_slabs,miss_ratio,n_rebalanced_slabs,monitor_interval,n_alloc_failures,uuid,mhMovingAverageParam,mhMinDiff,thresholdAIADStep,emrLow,emrHigh,base_dir,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1170821.9380361163,164,0.07200564530945004,164,10000,0,meta_202210_kv-625b4eea0d7713ee544156aa02a3aea0,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1211181.298824768,182,0.07190142927204501,182,50000,0,meta_202210_kv-cef394b17d2c2296cb2ae3c86beeac2f,0.3,2,2,0.5,0.85,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1330184.778957075,182,0.07190142927204501,182,50000,0,meta_202210_kv-40a1be79629be2e86a7e47eb8ae0a746,0.3,2,2,0.5,0.9,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1400397.2268520868,194,0.07234663920170005,194,100000,0,meta_202210_kv-dbf965157a012499249646717550a280,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1039682.4079985492,164,0.07200564530945004,164,10000,0,meta_202210_kv-f58ff13080a78c7774eebf24b2288f78,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1222364.3392577013,209,0.07222017865455699,209,50000,0,meta_202210_kv-9597efaf9fd24e236166cd1dfc1f7ed7,0.5,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,4,marginal-hits-tuned,LRU2Q,cold,992498.7623888183,176,0.0717719629470752,176,50000,0,meta_202210_kv-f3be8d659e0f3dc6f794bfdf4b3545d4,0.3,4,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1158541.7982024055,177,0.07165720375270607,177,20000,0,meta_202210_kv-3d6eff850b3bf33cbba95144af45ff89,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1009202.259402316,241,0.07282651001282943,241,500000,0,meta_202210_kv-8a67abd3fd3c6028dc713098e9c5112b,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1198950.574502471,177,0.07165720375270607,177,20000,0,meta_202210_kv-78fe1eda4ab5caf90bb95cadf256cef9,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,810859.5615886935,203,0.07184821162485842,203,50000,0,meta_202210_kv-3a528992de28e45032c639b9be38456d,0.1,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
